ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6
3,90000.0,2,2,2,34,0,0,0,0,0,0,29239,14027.0,13559.0,14331,14948.0,15549,1518.0,1500.0,1000.0,1000.0,1000.0,5000.0
4,50000.0,2,2,1,37,0,0,0,0,0,0,46990,48233.0,49291.0,28314,28959.0,29547,2000.0,2019.0,1200.0,1100.0,1069.0,1000.0
16,50000.0,2,3,3,23,1,2,0,0,0,0,50614,29173.0,28116.0,28771,29531.0,30211,0.0,1500.0,1100.0,1200.0,1300.0,1100.0
21,130000.0,2,3,2,39,0,0,0,0,0,-1,38358,27688.0,24489.0,20616,11802.0,930,3000.0,1537.0,1000.0,2000.0,930.0,33764.0
32,50000.0,1,2,2,33,2,0,0,0,0,0,30518,29618.0,22102.0,22734,23217.0,23680,1718.0,1500.0,1000.0,1000.0,1000.0,716.0
36,160000.0,1,1,2,30,-1,-1,-2,-2,-2,-1,30265,-131.0,-527.0,-923,-1488.0,-1884,131.0,396.0,396.0,565.0,792.0,0.0
41,360000.0,1,1,2,33,0,0,0,0,0,0,218668,221296.0,206895.0,628699,195969.0,179224,10000.0,7000.0,6000.0,188840.0,28000.0,4000.0
44,140000.0,2,2,1,37,0,0,0,0,0,0,59504,61544.0,62925.0,64280,67079.0,69802,3000.0,3000.0,3000.0,4000.0,4000.0,3000.0
47,20000.0,2,1,2,22,0,0,2,-1,0,0,14028,16484.0,15800.0,16341,16675.0,0,3000.0,0.0,16741.0,334.0,0.0,0.0
48,150000.0,2,5,2,46,0,0,-1,0,0,-2,4463,3034.0,1170.0,1170,0.0,0,1013.0,1170.0,0.0,0.0,0.0,0.0
49,380000.0,1,2,2,32,-1,-1,-1,-1,-1,-1,22401,21540.0,15134.0,32018,11849.0,11873,21540.0,15138.0,24677.0,11851.0,11875.0,8251.0
53,310000.0,2,2,1,49,-2,-2,-2,-2,-2,-2,13465,7867.0,7600.0,11185,3544.0,464,7875.0,7600.0,11185.0,3544.0,464.0,0.0
54,180000.0,2,1,2,25,1,2,0,0,0,0,41402,41742.0,42758.0,43510,44420.0,45319,1300.0,2010.0,1762.0,1762.0,1790.0,1622.0
59,200000.0,2,1,2,34,-1,3,2,2,2,2,1587,1098.0,782.0,1166,700.0,1414,0.0,0.0,700.0,0.0,1200.0,0.0
61,500000.0,2,3,1,28,0,0,0,0,0,0,22848,23638.0,18878.0,14937,13827.0,15571,1516.0,1300.0,1000.0,1000.0,2000.0,2000.0
62,70000.0,1,2,1,39,0,0,0,0,0,-1,70800,72060.0,69938.0,16518,14096.0,830,4025.0,2095.0,1000.0,2000.0,3000.0,0.0
63,50000.0,1,1,2,29,2,2,2,2,2,2,24987,24300.0,26591.0,25865,27667.0,28264,0.0,2700.0,0.0,2225.0,1200.0,0.0
64,50000.0,2,2,1,46,0,0,0,-2,-2,-2,28718,29166.0,0.0,0,0.0,0,1000.0,0.0,0.0,0.0,0.0,0.0
66,200000.0,1,1,1,57,-2,-2,-2,-1,2,2,152519,148751.0,144076.0,8174,8198.0,7918,0.0,0.0,8222.0,300.0,0.0,1000.0
71,80000.0,1,1,2,31,-1,-1,-1,-1,-1,-1,780,0.0,390.0,390,390.0,390,0.0,390.0,390.0,390.0,390.0,390.0
75,340000.0,1,1,2,32,-1,-1,-1,-1,-1,-1,3048,5550.0,23337.0,4291,80153.0,25820,5713.0,23453.0,4314.0,80552.0,25949.0,2016.0
76,20000.0,1,2,2,24,0,0,2,0,0,0,14619,17216.0,16642.0,16976,17332.0,18543,2850.0,0.0,610.0,630.0,1500.0,0.0
77,50000.0,1,3,2,25,-1,0,0,0,0,0,42838,37225.0,36087.0,9636,9590.0,10030,1759.0,1779.0,320.0,500.0,1000.0,1000.0
82,360000.0,2,1,2,26,0,0,0,0,0,-1,23411,27796.0,30400.0,33100,180000.0,196,4796.0,3400.0,3100.0,146900.0,196.0,2963.0
86,160000.0,1,2,2,33,0,0,0,0,0,0,130028,107808.0,71934.0,118418,118407.0,120418,4400.0,3547.0,80000.0,4500.0,4800.0,4500.0
99,50000.0,2,3,1,22,0,0,0,0,0,0,18722,18160.0,16997.0,13150,8866.0,7899,1411.0,1194.0,379.0,281.0,321.0,197.0
103,480000.0,1,1,1,63,0,0,0,2,2,0,422069,431342.0,479432.0,487066,471145.0,469961,16078.0,55693.0,17000.0,0.0,18000.0,24200.0
111,330000.0,2,1,1,31,0,0,2,0,0,0,105879,108431.0,105594.0,105896,106491.0,107289,9260.0,0.0,3593.0,4100.0,15794.0,0.0
113,280000.0,1,2,1,41,2,2,2,2,2,3,135673,138532.0,134813.0,144401,152174.0,149415,6500.0,0.0,14254.0,14850.0,0.0,5000.0
118,80000.0,1,2,2,26,2,0,0,0,0,0,14029,15493.0,16630.0,17055,17629.0,18186,2000.0,1700.0,1000.0,1000.0,1000.0,1000.0
122,450000.0,1,1,1,40,1,-2,-2,-2,-2,-2,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
125,20000.0,1,1,2,27,0,0,0,0,0,0,19115,18962.0,19298.0,19378,19717.0,15630,1404.0,1130.0,600.0,861.0,313.0,0.0
126,20000.0,1,2,2,23,1,-2,-2,-2,-2,-2,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
133,420000.0,1,2,1,34,0,0,0,0,0,0,253454,247743.0,229049.0,220951,210606.0,188108,9744.0,9553.0,7603.0,7830.0,7253.0,11326.0
138,210000.0,2,2,1,33,0,0,0,0,0,0,7166,7997.0,8792.0,9189,4404.0,5708,1500.0,1500.0,1000.0,500.0,2000.0,546.0
139,50000.0,2,3,1,51,-1,-1,-1,-1,-2,-2,752,300.0,5880.0,0,0.0,0,300.0,5880.0,0.0,0.0,0.0,0.0
145,20000.0,1,1,2,29,-1,-1,-1,-1,0,-1,1199,15586.0,344.0,2340,6702.0,339,15586.0,344.0,2340.0,4702.0,339.0,330.0
