date,symbol,marketcapname,sector
15-03-2021,JSWSTEEL,Largecap,Metals
15-03-2021,TECHM,Largecap,I.T
15-03-2021,DELTACORP,Midcap,Media
15-03-2021,OBEROIRLTY,Largecap,Realty
16-03-2021,INFY,Largecap,I.T
16-03-2021,HCLTECH,Largecap,I.T
16-03-2021,TCS,Largecap,I.T
16-03-2021,COFORGE,Largecap,I.T
16-03-2021,FSL,Midcap,I.T
16-03-2021,MINDTREE,Largecap,I.T
16-03-2021,RECLTD,Largecap,Finance
16-03-2021,MCX,Midcap,Miscellaneous
16-03-2021,LALPATHLAB,Largecap,Pharmaceuticals
17-03-2021,ITC,Largecap,FMCG
17-03-2021,MCX,Midcap,Miscellaneous
18-03-2021,IEX,Largecap,Miscellaneous
19-03-2021,ITC,Largecap,FMCG
19-03-2021,IEX,Largecap,Miscellaneous
22-03-2021,PIDILITIND,Largecap,Industrials
22-03-2021,HINDUNILVR,Largecap,FMCG
22-03-2021,CANFINHOME,Midcap,Finance
22-03-2021,SRTRANSFIN,Largecap,Finance
22-03-2021,UBL,Largecap,FMCG
22-03-2021,PAGEIND,Largecap,FMCG
22-03-2021,OBEROIRLTY,Largecap,Realty
23-03-2021,ACC,Largecap,Industrials
23-03-2021,AMBUJACEM,Largecap,Industrials
23-03-2021,EICHERMOT,Largecap,Auto
23-03-2021,BERGEPAINT,Largecap,Industrials
23-03-2021,SRTRANSFIN,Largecap,Finance
23-03-2021,ADANIENT,Largecap,Services
23-03-2021,BANDHANBNK,Largecap,Bank
23-03-2021,METROPOLIS,Midcap,Pharmaceuticals
23-03-2021,UBL,Largecap,FMCG
23-03-2021,PAGEIND,Largecap,FMCG
24-03-2021,AARTIIND,Largecap,Industrials
30-03-2021,HDFC,Largecap,Finance
30-03-2021,SAIL,Largecap,Metals
30-03-2021,TITAN,Largecap,Miscellaneous
30-03-2021,JSWSTEEL,Largecap,Metals
30-03-2021,PIDILITIND,Largecap,Industrials
30-03-2021,SHREECEM,Largecap,Industrials
30-03-2021,TATASTEEL,Largecap,Metals
30-03-2021,NESTLEIND,Largecap,FMCG
30-03-2021,ASIANPAINT,Largecap,Industrials
30-03-2021,METROPOLIS,Midcap,Pharmaceuticals
30-03-2021,MARICO,Largecap,FMCG
30-03-2021,GODREJCP,Largecap,FMCG
30-03-2021,DIVISLAB,Largecap,Pharmaceuticals
30-03-2021,APLLTD,Midcap,Pharmaceuticals
31-03-2021,AMBUJACEM,Largecap,Industrials
31-03-2021,TATASTEEL,Largecap,Metals
31-03-2021,HINDUNILVR,Largecap,FMCG
31-03-2021,CANFINHOME,Midcap,Finance
31-03-2021,AUROPHARMA,Largecap,Pharmaceuticals
31-03-2021,MARICO,Largecap,FMCG
31-03-2021,JINDALSTEL,Largecap,Metals
31-03-2021,DIVISLAB,Largecap,Pharmaceuticals
31-03-2021,NAVINFLUOR,Midcap,Industrials
31-03-2021,LALPATHLAB,Largecap,Pharmaceuticals
01-04-2021,ATUL,Largecap,Industrials
01-04-2021,JSWSTEEL,Largecap,Metals
01-04-2021,LICHSGFIN,Largecap,Finance
01-04-2021,SHREECEM,Largecap,Industrials
01-04-2021,AMBUJACEM,Largecap,Industrials
01-04-2021,TATASTEEL,Largecap,Metals
01-04-2021,BHARATFORG,Largecap,Industrials
01-04-2021,TATACONSUM,Largecap,FMCG
01-04-2021,JINDALSTEL,Largecap,Metals
01-04-2021,BSOFT,Midcap,I.T
01-04-2021,FSL,Midcap,I.T
01-04-2021,BAJAJFINSV,Largecap,Finance
01-04-2021,APLLTD,Midcap,Pharmaceuticals
01-04-2021,SYNGENE,Largecap,Pharmaceuticals
05-04-2021,LAURUSLABS,Largecap,Pharmaceuticals
05-04-2021,ATUL,Largecap,Industrials
05-04-2021,SAIL,Largecap,Metals
05-04-2021,INFY,Largecap,I.T
05-04-2021,JSWSTEEL,Largecap,Metals
05-04-2021,SHREECEM,Largecap,Industrials
05-04-2021,ADANIENT,Largecap,Services
05-04-2021,NMDC,Largecap,Industrials
05-04-2021,HCLTECH,Largecap,I.T
05-04-2021,JINDALSTEL,Largecap,Metals
05-04-2021,BSOFT,Midcap,I.T
05-04-2021,SYNGENE,Largecap,Pharmaceuticals
05-04-2021,LALPATHLAB,Largecap,Pharmaceuticals
05-04-2021,LTTS,Largecap,I.T
06-04-2021,LAURUSLABS,Largecap,Pharmaceuticals
06-04-2021,SAIL,Largecap,Metals
06-04-2021,JSWSTEEL,Largecap,Metals
06-04-2021,LUPIN,Largecap,Pharmaceuticals
06-04-2021,BRITANNIA,Largecap,FMCG
06-04-2021,ADANIENT,Largecap,Services
06-04-2021,JINDALSTEL,Largecap,Metals
06-04-2021,TCS,Largecap,I.T
06-04-2021,ADANIPORTS,Largecap,Realty
06-04-2021,LALPATHLAB,Largecap,Pharmaceuticals
07-04-2021,LAURUSLABS,Largecap,Pharmaceuticals
07-04-2021,ATUL,Largecap,Industrials
07-04-2021,DABUR,Largecap,FMCG
07-04-2021,DRREDDY,Largecap,Pharmaceuticals
07-04-2021,JSWSTEEL,Largecap,Metals
07-04-2021,NESTLEIND,Largecap,FMCG
07-04-2021,BRITANNIA,Largecap,FMCG
07-04-2021,SRF,Midcap,Industrials
07-04-2021,APOLLOHOSP,Largecap,Pharmaceuticals
07-04-2021,PIIND,Largecap,Industrials
07-04-2021,AARTIIND,Largecap,Industrials
07-04-2021,IPCALAB,Largecap,Pharmaceuticals
07-04-2021,AUROPHARMA,Largecap,Pharmaceuticals
07-04-2021,SBILIFE,Largecap,Services
